area,type,room,sqm,price,price/sqm
Alppila,kt,"1h, avok, kph","51,00",378000,7412
Alppila,kt,"1h, kk","23,00",169550,7372
Kallio,kt,1h+kk,"29,00",228000,7862
Mellunmäki,kt,"1h, kt, kph","30,00",115000,3833
Oulunkylä,kt,"1h, kk, kph, pa...","33,00",163500,4955
Etelä-haaga,kt,1h,"25,50",180000,7059
Etelä-haaga,kt,"1h, avok., kph,...","31,00",207000,6677
Etelä-haaga,kt,1h+kk,"24,00",119000,4958
Käpylä,kt,"1h,avok, kph, l...","36,00",227479,6319
Kallio,kt,"1 h, avok, pien...","22,80",148000,6491
Munkkivuori,kt,1h+kk+kph+vh,"31,70",205000,6467
Ullanlinna,kt,1h+k+kph,"49,80",420000,8434
Kallio,kt,"1h, kk, kph","21,00",165000,7857
Kamppi,kt,1h+kk+kph,"21,50",238650,11100
Kallio,kt,1h+tk+kph,"28,00",217700,7775
Sörnäinen,kt,"1h, avok, kph","29,00",235000,8103
Vallila,kt,"1h, k, alk, kph","33,00",205000,6212
Lassila,kt,"1h, avokeitti&#...","37,00",178000,4811
Etelä-haaga,kt,"1h, kk ja vh","26,00",192000,7385
Alppila,kt,1h+kk+kph+vh+ra...,"28,00",212000,7571
Sörnäinen,kt,"1h, avok. ja parvi","31,40",268000,8535
Ullanlinna,kt,1h+avok+kph (yj...,"34,00",310000,9118
Eira,kt,"1h, k, alokovi,...","35,00",350500,10014
Lauttasaari,kt,"1h, kk, kph","23,00",212000,9217
Herttoniemi,kt,1h+kk+kph,"27,00",174000,6444
Tapaninvainio,kt,"1h,kk,kph,p (yh...","30,50",137500,4508
Munkkiniemi,kt,"1h, kk","39,00",235000,6026
Kallio,kt,"1h, avok, kph/wc","16,00",181000,11313
Kamppi,kt,1h+kk,"24,50",212000,8653
Konala,kt,1h+kk,"27,50",136000,4945
Etu-töölö,kt,"1h, avok, alkov...","28,50",287000,10070
Pukinmäki,kt,"1h,kk,p","32,00",145000,4531
Malminkartano,kt,1h+kk+alkovi,"36,50",131000,3589
Punavuori,kt,"1h, kk, kph","26,00",245000,9423
Kruununhaka,kt,"1h, k","41,00",355000,8659
Kallio,kt,1h+kk,"24,00",192000,8000
Kallio,kt,"1h, k, kph/ wc.","27,50",165000,6000
Kontula,kt,"1h, avok, kph, p","30,50",180000,5902
Ullanlinna,kt,1h+alk+avok+kph,"38,80",352000,9072
Kluuvi,kt,1-2H+K+KPH,"43,50",430196,9890
Kallio,kt,"1h, kk, kph, vh","25,00",190000,7600
Kulosaari,kt,"1h, k, kph, las...","28,50",233000,8175
Kamppi,kt,"1h, kk, kph, vh","30,00",285000,9500
Etelä-haaga,kt,"1 h, kk, alkovi...","27,80",206000,7410
Kannelmäki,kt,"1h,kk,p","33,50",97000,2896
Punavuori,kt,"1h, avok, kph, ...","34,00",295000,8676
Meilahti,kt,1h+kk,"15,30",152500,9967
Kallio,kt,"1h,kt,kph,wc (h...","26,20",215500,8225
Kamppi,kt,"1h, kk, kph","32,00",303000,9469
Punavuori,kt,"1h, kk, ranskal...","25,00",252000,10080
Taka-töölö,kt,"1h, kk, kph","28,00",225000,8036
Kallio,kt,"1h,kk","24,50",209000,8531
Kamppi,kt,"1h, avok., kph....","38,00",284000,7474
Kallio,kt,1h+avok+et+kph+wc,"27,00",274000,10148
Punavuori,kt,"1h, kk, kph, pa...","28,50",270000,9474
Kamppi,kt,"1h, kk, kph","23,00",229000,9957
Kallio,kt,"1h,avok,kh","38,00",229000,6026
Taka-töölö,kt,"1h, kk, alkovi,...","32,00",257000,8031
Kallio,kt,1h+avok.+kph,"33,50",269000,8030
Ullanlinna,kt,"1h,k,kh, alkovi...","35,00",331000,9457
Kamppi,kt,1h,"19,00",202500,10658
Kalasatama,kt,"1h, avok, lasit...","23,00",269000,11696
Maunula,kt,"1h, kk, kph, et...","24,10",167000,6929
Vallila,kt,1h+avok+kph,"20,00",173000,8650
Kallio,kt,"1h, kk, kph","31,00",200000,6452
Hakaniemi,kt,"1h, avokeitti&#...","32,00",214500,6703
Taka-töölö,kt,"1 h, kk, kh (YJ...","24,20",175000,7231
Harju,kt,"1h, kt, kh","20,00",203000,10150
Vartiokylä,kt,"1h, k, kph ja p...","27,00",128000,4741
Maunula,kt,1 h + kk + kph,"28,00",160300,5725
Koskela,kt,"1h, k","35,00",145000,4143
Kallio,kt,"1h, kk, kh","35,50",301750,8500
Kamppi,kt,"1h, kt, kph","13,50",157000,11630
Roihuvuori,kt,1h+kph+keitti&#...,"23,00",116000,5043
Itä-pasila,kt,"1h, k ja parveke!","27,00",162000,6000
Ullanlinna,kt,1h+kk,"27,00",292000,10815
Kallio,kt,1h+kk,"29,00",256000,8828
Savela,kt,"1h,kk, kph, las...","30,50",140500,4607
Vallila,kt,1h+kk+wc/kph,"30,50",225000,7377
Itä-pasila,kt,"1 h, kk, kph, a...","35,00",210000,6000
Kallio,kt,1h+kk+wc+suihku,"20,10",184000,9154
Itäkeskus,kt,"1h, kk, kph/wc ...","28,50",126500,4439
Puotila,kt,"1h, kk, vh, kph...","33,20",133500,4021
